"","Policy.Number","Age","Age.Band","Avg.Age","Years.of.Driving.Experience","Number.of.Vehicles","Gender","Gender.Dummy","Married","Married.Dummy","Vehicle.Age","Vehicle.Age.Band","Avg.Vehicle.Age","Fuel.Type","Fuel.Type.Dummy","Losses","Count","Capped.Losses","logloss"
"7525",199365,18,"16-25",20.6,0,2,"F",0,"Single",1,12,"11+",12.97,"P",0,440,1,440,6.08677472691231
"9701",104383,50,"26-59",42.4,30,3,"F",0,"Married",0,7,"6-10",8.02,"P",0,306,1,306,5.72358510195238
"1296",123039,25,"16-25",20.6,7,1,"F",0,"Single",1,12,"11+",12.97,"P",0,328,1,328,5.79301360838414
"8918",156161,29,"26-59",42.4,11,3,"M",1,"Single",1,6,"6-10",8.02,"P",0,445,1,445,6.09807428216624
"2489",114819,16,"16-25",20.6,0,1,"M",1,"Single",1,11,"11+",12.97,"P",0,433,1,433,6.07073772800249
"12291",132475,50,"26-59",42.4,30,3,"M",1,"Single",1,7,"6-10",8.02,"P",0,462,1,462,6.13556489108174
"4422",129122,34,"26-59",42.4,16,2,"F",0,"Single",1,3,"0-5",2.5,"P",0,436,1,436,6.07764224334903
"1096",134149,63,"60+",65.1,43,1,"F",0,"Married",0,7,"6-10",8.02,"P",0,116,1,116,4.75359019110636
"8371",161476,49,"26-59",42.4,29,3,"F",0,"Single",1,14,"11+",12.97,"P",0,252,1,252,5.52942908751142
"10328",146070,68,"60+",65.1,48,3,"F",0,"Married",0,4,"0-5",2.5,"P",0,401,1,401,5.99396142730657
"6898",134066,60,"60+",65.1,43,2,"F",0,"Single",1,15,"11+",12.97,"P",0,19,1,19,2.94443897916644
"12579",186337,48,"26-59",42.4,27,3,"F",0,"Single",1,7,"6-10",8.02,"P",0,359,1,359,5.88332238848828
"1386",161900,50,"26-59",42.4,31,1,"F",0,"Married",0,10,"6-10",8.02,"P",0,338,1,338,5.82304589548302
"1866",149378,25,"16-25",20.6,6,1,"M",1,"Married",0,15,"11+",12.97,"P",0,475,1,475,6.16331480403464
"8661",108903,41,"26-59",42.4,20,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,337,1,337,5.82008293035236
"759",101213,62,"60+",65.1,45,1,"M",1,"Single",1,6,"6-10",8.02,"P",0,266,1,266,5.5834963087817
"8570",125092,70,"60+",65.1,53,3,"F",0,"Single",1,2,"0-5",2.5,"P",0,235,1,235,5.45958551414416
"14741",176119,65,"60+",65.1,48,4,"M",1,"Single",1,7,"6-10",8.02,"P",0,419,1,419,6.03787091992214
"7780",166108,22,"16-25",20.6,4,3,"M",1,"Single",1,6,"6-10",8.02,"D",1,1217,1,1200,7.10414409298753
"10693",192764,63,"60+",65.1,43,3,"M",1,"Married",0,15,"11+",12.97,"P",0,24,1,24,3.17805383034795
"311",137967,45,"26-59",42.4,27,1,"F",0,"Married",0,3,"0-5",2.5,"P",0,449,1,449,6.10702288774225
"11952",130563,66,"60+",65.1,45,3,"F",0,"Married",0,4,"0-5",2.5,"P",0,202,1,202,5.30826769740121
"8914",186192,65,"60+",65.1,48,3,"F",0,"Married",0,7,"6-10",8.02,"P",0,214,1,214,5.36597601502185
"4840",186896,37,"26-59",42.4,18,2,"F",0,"Married",0,3,"0-5",2.5,"P",0,488,1,488,6.19031540585315
"15193",197283,37,"26-59",42.4,18,4,"M",1,"Single",1,2,"0-5",2.5,"D",1,640,1,640,6.46146817635372
"8098",102197,37,"26-59",42.4,18,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,337,1,337,5.82008293035236
"1676",125251,27,"26-59",42.4,9,1,"M",1,"Married",0,3,"0-5",2.5,"P",0,397,1,397,5.98393628068719
"9655",107202,62,"60+",65.1,43,3,"F",0,"Single",1,5,"0-5",2.5,"P",0,166,1,166,5.11198778835654
"12166",101602,18,"16-25",20.6,0,3,"F",0,"Single",1,13,"11+",12.97,"P",0,219,1,219,5.3890717298165
"10870",158944,67,"60+",65.1,48,3,"F",0,"Married",0,7,"6-10",8.02,"P",0,191,1,191,5.25227342804663
"10715",107598,37,"26-59",42.4,16,3,"F",0,"Single",1,12,"11+",12.97,"P",0,196,1,196,5.27811465923052
"8580",100918,65,"60+",65.1,46,3,"F",0,"Married",0,14,"11+",12.97,"P",0,247,1,247,5.50938833662798
"3946",193120,33,"26-59",42.4,13,2,"M",1,"Married",0,11,"11+",12.97,"P",0,353,1,353,5.8664680569333
"7727",132918,66,"60+",65.1,49,3,"F",0,"Single",1,12,"11+",12.97,"P",0,218,1,218,5.38449506278909
"11077",179057,47,"26-59",42.4,29,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,303,1,303,5.71373280550937
"10394",124752,18,"16-25",20.6,0,3,"F",0,"Single",1,6,"6-10",8.02,"D",1,688,1,688,6.53378883793334
"568",139687,36,"26-59",42.4,15,1,"F",0,"Single",1,6,"6-10",8.02,"P",0,420,1,420,6.04025471127741
"7895",162813,49,"26-59",42.4,28,3,"F",0,"Married",0,5,"0-5",2.5,"D",1,643,1,643,6.46614472423762
"9617",157889,23,"16-25",20.6,6,3,"F",0,"Single",1,10,"6-10",8.02,"D",1,701,1,701,6.55250788703459
"10441",190247,63,"60+",65.1,46,3,"M",1,"Married",0,9,"6-10",8.02,"P",0,121,1,121,4.79579054559674
"10856",147832,62,"60+",65.1,43,3,"M",1,"Single",1,9,"6-10",8.02,"P",0,270,1,270,5.59842195899838
"8360",187942,67,"60+",65.1,47,3,"F",0,"Married",0,3,"0-5",2.5,"P",0,87,1,87,4.46590811865458
"13541",161219,50,"26-59",42.4,29,4,"M",1,"Single",1,6,"6-10",8.02,"P",0,473,1,473,6.15909538849193
"7367",118321,25,"16-25",20.6,7,2,"M",1,"Married",0,14,"11+",12.97,"P",0,458,1,458,6.12686918411419
"6340",184866,69,"60+",65.1,49,2,"F",0,"Married",0,6,"6-10",8.02,"P",0,34,1,34,3.52636052461616
"354",110303,52,"26-59",42.4,32,1,"F",0,"Single",1,14,"11+",12.97,"P",0,323,1,323,5.77765232322266
"11541",128644,60,"60+",65.1,42,3,"F",0,"Single",1,7,"6-10",8.02,"P",0,141,1,141,4.94875989037817
"14584",104092,17,"16-25",20.6,0,4,"F",0,"Single",1,10,"6-10",8.02,"P",0,404,1,404,6.00141487796115
"3654",160237,17,"16-25",20.6,0,2,"F",0,"Single",1,10,"6-10",8.02,"D",1,532,1,532,6.27664348934164
"13761",146456,37,"26-59",42.4,18,4,"M",1,"Married",0,0,"0-5",2.5,"D",1,623,1,623,6.43454651878745
"4886",152969,57,"26-59",42.4,37,2,"F",0,"Married",0,15,"11+",12.97,"P",0,142,1,142,4.95582705760126
"14086",153576,33,"26-59",42.4,13,4,"M",1,"Married",0,3,"0-5",2.5,"D",1,657,1,657,6.48768401848461
"589",111655,23,"16-25",20.6,4,1,"F",0,"Single",1,11,"11+",12.97,"P",0,222,1,222,5.40267738187228
"11939",116611,56,"26-59",42.4,38,3,"F",0,"Married",0,5,"0-5",2.5,"P",0,343,1,343,5.83773044716594
"8753",131795,23,"16-25",20.6,5,3,"F",0,"Single",1,15,"11+",12.97,"D",1,672,1,672,6.51025834052315
"10841",197834,63,"60+",65.1,45,3,"M",1,"Single",1,4,"0-5",2.5,"P",0,56,1,56,4.02535169073515
"5435",142016,50,"26-59",42.4,29,2,"F",0,"Single",1,8,"6-10",8.02,"P",0,458,1,458,6.12686918411419
"6393",158679,41,"26-59",42.4,20,2,"M",1,"Married",0,10,"6-10",8.02,"P",0,374,1,374,5.92425579741453
"13008",176852,56,"26-59",42.4,35,4,"F",0,"Single",1,8,"6-10",8.02,"P",0,332,1,332,5.80513496891649
"2202",100607,40,"26-59",42.4,19,1,"M",1,"Married",0,5,"0-5",2.5,"D",1,571,1,571,6.34738920965601
"3487",164309,53,"26-59",42.4,32,2,"M",1,"Single",1,4,"0-5",2.5,"D",1,702,1,702,6.55393340402581
"2977",176380,68,"60+",65.1,48,2,"M",1,"Married",0,10,"6-10",8.02,"P",0,201,1,201,5.30330490805908
"1351",107635,39,"26-59",42.4,22,1,"F",0,"Single",1,6,"6-10",8.02,"P",0,335,1,335,5.81413053182507
"2470",130843,45,"26-59",42.4,25,1,"M",1,"Married",0,12,"11+",12.97,"P",0,357,1,357,5.87773578177964
"4601",106282,66,"60+",65.1,49,2,"F",0,"Married",0,10,"6-10",8.02,"P",0,232,1,232,5.44673737166631
"2684",181519,46,"26-59",42.4,26,2,"M",1,"Single",1,3,"0-5",2.5,"D",1,693,1,693,6.5410299991899
"14007",178406,22,"16-25",20.6,5,4,"M",1,"Single",1,15,"11+",12.97,"P",0,467,1,467,6.1463292576689
"960",109324,70,"60+",65.1,51,1,"M",1,"Married",0,8,"6-10",8.02,"P",0,300,1,300,5.7037824746562
"8722",135198,54,"26-59",42.4,37,3,"M",1,"Married",0,6,"6-10",8.02,"P",0,394,1,394,5.97635090929793
"2010",192419,20,"16-25",20.6,2,1,"M",1,"Single",1,12,"11+",12.97,"D",1,636,1,636,6.45519856334012
"7338",191530,53,"26-59",42.4,32,2,"F",0,"Married",0,5,"0-5",2.5,"D",1,618,1,618,6.42648845745769
"4162",183961,66,"60+",65.1,47,2,"M",1,"Married",0,4,"0-5",2.5,"P",0,153,1,153,5.03043792139244
"6302",186705,68,"60+",65.1,50,2,"M",1,"Married",0,3,"0-5",2.5,"P",0,151,1,151,5.01727983681492
"6631",143262,22,"16-25",20.6,3,2,"F",0,"Married",0,11,"11+",12.97,"P",0,222,1,222,5.40267738187228
"14112",113858,17,"16-25",20.6,0,4,"F",0,"Married",0,13,"11+",12.97,"P",0,173,1,173,5.15329159449778
"12537",142054,61,"60+",65.1,44,3,"F",0,"Married",0,9,"6-10",8.02,"P",0,262,1,262,5.5683445037611
"8980",180189,61,"60+",65.1,41,3,"M",1,"Single",1,7,"6-10",8.02,"P",0,404,1,404,6.00141487796115
"170",164381,19,"16-25",20.6,2,1,"M",1,"Married",0,12,"11+",12.97,"P",0,289,1,289,5.66642668811243
"8250",175750,33,"26-59",42.4,16,3,"M",1,"Married",0,5,"0-5",2.5,"D",1,529,1,529,6.2709884318583
"9566",189920,17,"16-25",20.6,0,3,"F",0,"Single",1,14,"11+",12.97,"D",1,882,1,882,6.78219205600679
"1278",149419,30,"26-59",42.4,9,1,"F",0,"Single",1,10,"6-10",8.02,"P",0,396,1,396,5.98141421125448
"11450",172278,53,"26-59",42.4,34,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,355,1,355,5.87211778947542
"2530",160130,33,"26-59",42.4,12,1,"F",0,"Married",0,10,"6-10",8.02,"P",0,306,1,306,5.72358510195238
"6155",177338,69,"60+",65.1,51,2,"F",0,"Single",1,11,"11+",12.97,"P",0,33,1,33,3.49650756146648
"9105",183239,70,"60+",65.1,49,3,"F",0,"Married",0,11,"11+",12.97,"P",0,47,1,47,3.85014760171006
"6861",116550,25,"16-25",20.6,6,2,"F",0,"Married",0,15,"11+",12.97,"P",0,328,1,328,5.79301360838414
"2079",188913,22,"16-25",20.6,5,1,"M",1,"Single",1,8,"6-10",8.02,"D",1,654,1,654,6.4831073514572
"11029",160894,60,"60+",65.1,41,3,"F",0,"Married",0,14,"11+",12.97,"P",0,121,1,121,4.79579054559674
"9941",177005,45,"26-59",42.4,24,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,329,1,329,5.79605775076537
"12851",166267,24,"16-25",20.6,6,4,"F",0,"Single",1,14,"11+",12.97,"P",0,373,1,373,5.92157841964382
"2423",139437,43,"26-59",42.4,25,1,"M",1,"Single",1,1,"0-5",2.5,"D",1,576,1,576,6.35610766069589
"10642",182640,44,"26-59",42.4,26,3,"F",0,"Single",1,13,"11+",12.97,"P",0,338,1,338,5.82304589548302
"8200",124621,18,"16-25",20.6,0,3,"F",0,"Married",0,8,"6-10",8.02,"D",1,563,1,563,6.33327962813969
"4567",167494,19,"16-25",20.6,2,2,"M",1,"Married",0,13,"11+",12.97,"P",0,243,1,243,5.49306144334055
"12598",126474,26,"26-59",42.4,6,3,"M",1,"Single",1,3,"0-5",2.5,"D",1,844,1,844,6.73815249459596
"10900",164351,41,"26-59",42.4,23,3,"M",1,"Married",0,12,"11+",12.97,"P",0,363,1,363,5.89440283426485
"558",191285,34,"26-59",42.4,15,1,"F",0,"Single",1,6,"6-10",8.02,"P",0,403,1,403,5.99893656194668
"9043",146423,59,"26-59",42.4,42,3,"M",1,"Married",0,12,"11+",12.97,"P",0,391,1,391,5.96870755998537
"9446",137858,63,"60+",65.1,46,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,188,1,188,5.23644196282995
"1341",150525,22,"16-25",20.6,5,1,"F",0,"Married",0,14,"11+",12.97,"P",0,497,1,497,6.20859002609663
"15094",180051,65,"60+",65.1,46,4,"F",0,"Single",1,4,"0-5",2.5,"P",0,258,1,258,5.55295958492162
"3581",183623,52,"26-59",42.4,32,2,"M",1,"Married",0,4,"0-5",2.5,"P",0,488,1,488,6.19031540585315
"2954",156817,44,"26-59",42.4,27,2,"M",1,"Married",0,11,"11+",12.97,"P",0,154,1,154,5.03695260241363
"332",185143,21,"16-25",20.6,2,1,"M",1,"Married",0,11,"11+",12.97,"P",0,317,1,317,5.75890177387728
"10722",166361,51,"26-59",42.4,31,3,"F",0,"Single",1,14,"11+",12.97,"P",0,281,1,281,5.63835466933375
"4561",147362,23,"16-25",20.6,5,2,"M",1,"Single",1,15,"11+",12.97,"D",1,710,1,710,6.56526497003536
"5270",171270,68,"60+",65.1,51,2,"F",0,"Single",1,15,"11+",12.97,"P",0,74,1,74,4.30406509320417
"9723",126940,67,"60+",65.1,50,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,329,1,329,5.79605775076537
"13524",152640,68,"60+",65.1,51,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,174,1,174,5.15905529921453
"15081",157377,62,"60+",65.1,42,4,"F",0,"Married",0,14,"11+",12.97,"P",0,103,1,103,4.63472898822964
"13408",180007,67,"60+",65.1,48,4,"M",1,"Married",0,6,"6-10",8.02,"P",0,278,1,278,5.62762111369064
"10949",149666,61,"60+",65.1,43,3,"F",0,"Single",1,8,"6-10",8.02,"P",0,314,1,314,5.74939298590825
"4701",187987,58,"26-59",42.4,39,2,"F",0,"Single",1,14,"11+",12.97,"P",0,429,1,429,6.06145691892802
"1456",188150,24,"16-25",20.6,7,1,"F",0,"Married",0,13,"11+",12.97,"P",0,312,1,312,5.74300318780948
"5826",186367,48,"26-59",42.4,31,2,"M",1,"Single",1,15,"11+",12.97,"P",0,340,1,340,5.82894561761021
"8113",160356,34,"26-59",42.4,14,3,"M",1,"Single",1,1,"0-5",2.5,"P",0,481,1,481,6.17586727010576
"4293",133148,18,"16-25",20.6,1,2,"M",1,"Married",0,7,"6-10",8.02,"D",1,502,1,502,6.21860011969173
"723",164081,38,"26-59",42.4,21,1,"F",0,"Single",1,10,"6-10",8.02,"P",0,404,1,404,6.00141487796115
"14358",158745,68,"60+",65.1,50,4,"F",0,"Married",0,1,"0-5",2.5,"P",0,233,1,233,5.4510384535657
"4703",131994,65,"60+",65.1,45,2,"F",0,"Married",0,13,"11+",12.97,"P",0,110,1,110,4.70048036579242
"2566",116861,20,"16-25",20.6,2,2,"F",0,"Married",0,15,"11+",12.97,"P",0,426,1,426,6.05443934626937
"12706",122190,25,"16-25",20.6,6,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,373,1,373,5.92157841964382
"7826",129036,25,"16-25",20.6,8,3,"F",0,"Single",1,12,"11+",12.97,"D",1,569,1,569,6.34388043412633
"2278",134118,36,"26-59",42.4,18,1,"M",1,"Married",0,11,"11+",12.97,"P",0,233,1,233,5.4510384535657
"1016",129126,39,"26-59",42.4,22,1,"M",1,"Married",0,7,"6-10",8.02,"P",0,352,1,352,5.8636311755981
"7700",113259,16,"16-25",20.6,0,3,"F",0,"Single",1,11,"11+",12.97,"P",0,308,1,308,5.73009978297357
"11296",120582,26,"26-59",42.4,7,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,341,1,341,5.83188247728352
"9094",116468,60,"60+",65.1,42,3,"F",0,"Single",1,14,"11+",12.97,"P",0,63,1,63,4.14313472639153
"9275",157482,24,"16-25",20.6,6,3,"F",0,"Married",0,12,"11+",12.97,"P",0,304,1,304,5.71702770140622
"5904",114952,41,"26-59",42.4,20,2,"F",0,"Married",0,15,"11+",12.97,"P",0,150,1,150,5.01063529409626
"13896",194599,37,"26-59",42.4,20,4,"M",1,"Married",0,3,"0-5",2.5,"P",0,410,1,410,6.01615715969835
"9619",133877,39,"26-59",42.4,22,3,"F",0,"Married",0,3,"0-5",2.5,"D",1,596,1,596,6.39024066706535
"6613",137286,18,"16-25",20.6,0,2,"M",1,"Single",1,14,"11+",12.97,"D",1,1028,1,1028,6.93537044601511
"12848",169360,66,"60+",65.1,48,4,"M",1,"Married",0,1,"0-5",2.5,"P",0,85,1,85,4.44265125649032
"4882",188652,52,"26-59",42.4,31,2,"M",1,"Single",1,10,"6-10",8.02,"P",0,393,1,393,5.97380961186926
"8498",124690,67,"60+",65.1,50,3,"M",1,"Single",1,4,"0-5",2.5,"P",0,79,1,79,4.36944785246702
"8582",190784,17,"16-25",20.6,0,3,"F",0,"Single",1,11,"11+",12.97,"P",0,283,1,283,5.64544689764324
"9389",119043,26,"26-59",42.4,8,3,"F",0,"Married",0,7,"6-10",8.02,"P",0,324,1,324,5.78074351579233
"13904",154563,16,"16-25",20.6,0,4,"F",0,"Married",0,15,"11+",12.97,"P",0,339,1,339,5.82600010738045
"1035",121043,20,"16-25",20.6,3,1,"F",0,"Single",1,11,"11+",12.97,"P",0,414,1,414,6.02586597382531
"11606",112204,56,"26-59",42.4,37,3,"M",1,"Single",1,7,"6-10",8.02,"D",1,564,1,564,6.33505425149806
"8848",140462,27,"26-59",42.4,7,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,367,1,367,5.90536184805457
"9552",178867,25,"16-25",20.6,6,3,"M",1,"Single",1,11,"11+",12.97,"D",1,838,1,838,6.73101810048208
"13193",189806,70,"60+",65.1,51,4,"F",0,"Married",0,12,"11+",12.97,"P",0,124,1,124,4.82028156560504
"13298",129112,60,"60+",65.1,40,4,"F",0,"Single",1,15,"11+",12.97,"P",0,205,1,205,5.32300997913841
"3949",126538,60,"60+",65.1,39,2,"M",1,"Married",0,5,"0-5",2.5,"P",0,55,1,55,4.00733318523247
"9046",173544,60,"60+",65.1,42,3,"F",0,"Married",0,6,"6-10",8.02,"P",0,120,1,120,4.78749174278205
"13039",128349,27,"26-59",42.4,7,4,"M",1,"Married",0,3,"0-5",2.5,"P",0,380,1,380,5.94017125272043
"5448",155716,63,"60+",65.1,46,2,"M",1,"Single",1,13,"11+",12.97,"P",0,45,1,45,3.80666248977032
"14143",113063,19,"16-25",20.6,0,4,"F",0,"Married",0,12,"11+",12.97,"P",0,330,1,330,5.79909265446053
"13865",143442,23,"16-25",20.6,4,4,"F",0,"Married",0,14,"11+",12.97,"P",0,299,1,299,5.70044357339069
"13802",125222,24,"16-25",20.6,5,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,330,1,330,5.79909265446053
"9979",160313,61,"60+",65.1,41,3,"F",0,"Single",1,3,"0-5",2.5,"P",0,73,1,73,4.29045944114839
"4512",152332,63,"60+",65.1,43,2,"F",0,"Single",1,0,"0-5",2.5,"D",1,665,1,665,6.49978704065585
"6820",112732,68,"60+",65.1,50,2,"M",1,"Single",1,6,"6-10",8.02,"P",0,46,1,46,3.8286413964891
"11555",148603,47,"26-59",42.4,28,3,"F",0,"Married",0,6,"6-10",8.02,"P",0,341,1,341,5.83188247728352
"7160",114134,23,"16-25",20.6,5,2,"F",0,"Married",0,12,"11+",12.97,"P",0,299,1,299,5.70044357339069
"15166",192584,56,"26-59",42.4,39,4,"F",0,"Single",1,3,"0-5",2.5,"D",1,550,1,550,6.30991827822652
"153",146889,43,"26-59",42.4,22,1,"M",1,"Single",1,8,"6-10",8.02,"P",0,383,1,383,5.94803498918065
"8171",153045,16,"16-25",20.6,0,3,"M",1,"Single",1,15,"11+",12.97,"P",0,489,1,489,6.19236248947487
"2235",160442,64,"60+",65.1,47,1,"M",1,"Single",1,1,"0-5",2.5,"P",0,69,1,69,4.23410650459726
"14571",193194,28,"26-59",42.4,7,4,"F",0,"Married",0,11,"11+",12.97,"P",0,235,1,235,5.45958551414416
"14813",143261,17,"16-25",20.6,0,4,"F",0,"Single",1,14,"11+",12.97,"P",0,293,1,293,5.68017260901707
"13863",170919,16,"16-25",20.6,0,4,"M",1,"Married",0,12,"11+",12.97,"P",0,383,1,383,5.94803498918065
"14743",184351,40,"26-59",42.4,21,4,"M",1,"Single",1,10,"6-10",8.02,"P",0,404,1,404,6.00141487796115
"6561",166650,32,"26-59",42.4,12,2,"F",0,"Married",0,9,"6-10",8.02,"P",0,323,1,323,5.77765232322266
"414",172482,45,"26-59",42.4,26,1,"F",0,"Single",1,7,"6-10",8.02,"P",0,378,1,378,5.93489419561959
"5338",167838,37,"26-59",42.4,20,2,"M",1,"Single",1,12,"11+",12.97,"P",0,496,1,496,6.20657592672493
"10242",161779,31,"26-59",42.4,14,3,"M",1,"Single",1,0,"0-5",2.5,"D",1,544,1,544,6.29894924685594
"3311",191986,50,"26-59",42.4,33,2,"F",0,"Single",1,4,"0-5",2.5,"P",0,399,1,399,5.98896141688986
"6588",146242,24,"16-25",20.6,6,2,"M",1,"Single",1,15,"11+",12.97,"D",1,1099,1,1099,7.00215595440362
"8134",184381,50,"26-59",42.4,33,3,"M",1,"Married",0,12,"11+",12.97,"P",0,306,1,306,5.72358510195238
"6925",170699,51,"26-59",42.4,30,2,"F",0,"Single",1,14,"11+",12.97,"P",0,311,1,311,5.73979291217923
"11786",164795,62,"60+",65.1,42,3,"F",0,"Married",0,13,"11+",12.97,"P",0,187,1,187,5.23110861685459
"10269",187957,22,"16-25",20.6,3,3,"F",0,"Married",0,15,"11+",12.97,"P",0,427,1,427,6.05678401322862
"6065",103533,65,"60+",65.1,48,2,"M",1,"Single",1,1,"0-5",2.5,"P",0,51,1,51,3.93182563272433
"10138",153288,38,"26-59",42.4,19,3,"M",1,"Single",1,7,"6-10",8.02,"D",1,505,1,505,6.22455842927536
"8331",191941,39,"26-59",42.4,18,3,"F",0,"Single",1,14,"11+",12.97,"P",0,350,1,350,5.85793315448346
"12022",148478,69,"60+",65.1,52,3,"F",0,"Married",0,11,"11+",12.97,"P",0,195,1,195,5.27299955856375
"12935",185826,69,"60+",65.1,51,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,262,1,262,5.5683445037611
"5274",132995,25,"16-25",20.6,6,2,"F",0,"Married",0,8,"6-10",8.02,"P",0,309,1,309,5.73334127689775
"2734",193048,24,"16-25",20.6,5,2,"F",0,"Single",1,12,"11+",12.97,"P",0,427,1,427,6.05678401322862
"14764",147301,25,"16-25",20.6,7,4,"M",1,"Single",1,14,"11+",12.97,"P",0,312,1,312,5.74300318780948
"11362",139207,26,"26-59",42.4,6,3,"F",0,"Married",0,4,"0-5",2.5,"P",0,425,1,425,6.05208916892442
"1290",115591,30,"26-59",42.4,10,1,"M",1,"Single",1,9,"6-10",8.02,"P",0,421,1,421,6.04263283368238
"5005",134294,63,"60+",65.1,44,2,"M",1,"Married",0,6,"6-10",8.02,"P",0,34,1,34,3.52636052461616
"8521",197127,18,"16-25",20.6,0,3,"M",1,"Married",0,15,"11+",12.97,"D",1,727,1,727,6.58892647753352
"7527",145440,25,"16-25",20.6,6,2,"M",1,"Single",1,0,"0-5",2.5,"D",1,1204,1,1200,7.09340462586877
"6864",144816,33,"26-59",42.4,16,2,"F",0,"Married",0,9,"6-10",8.02,"P",0,363,1,363,5.89440283426485
"5197",164781,18,"16-25",20.6,0,2,"M",1,"Single",1,6,"6-10",8.02,"D",1,1186,1,1186,7.07834157955767
"12144",175730,24,"16-25",20.6,6,3,"F",0,"Married",0,15,"11+",12.97,"P",0,130,1,130,4.86753445045558
"8336",199822,19,"16-25",20.6,0,3,"M",1,"Married",0,11,"11+",12.97,"P",0,367,1,367,5.90536184805457
"8314",122683,56,"26-59",42.4,38,3,"M",1,"Married",0,0,"0-5",2.5,"D",1,529,1,529,6.2709884318583
"10691",167737,20,"16-25",20.6,1,3,"M",1,"Single",1,0,"0-5",2.5,"D",1,1042,1,1042,6.94889722231331
"8694",140467,20,"16-25",20.6,2,3,"M",1,"Single",1,15,"11+",12.97,"D",1,673,1,673,6.51174532964473
"9558",170399,60,"60+",65.1,41,3,"F",0,"Single",1,13,"11+",12.97,"P",0,34,1,34,3.52636052461616
"9825",131846,64,"60+",65.1,45,3,"M",1,"Single",1,6,"6-10",8.02,"P",0,382,1,382,5.94542060860658
"15233",124065,62,"60+",65.1,41,4,"F",0,"Married",0,1,"0-5",2.5,"P",0,448,1,448,6.10479323241498
"196",156261,21,"16-25",20.6,3,1,"F",0,"Single",1,14,"11+",12.97,"D",1,565,1,565,6.33682573114644
"6622",100273,32,"26-59",42.4,11,2,"M",1,"Married",0,11,"11+",12.97,"P",0,347,1,347,5.84932477994686
"12779",179563,24,"16-25",20.6,6,3,"F",0,"Married",0,0,"0-5",2.5,"P",0,333,1,333,5.80814248998044
"2039",161572,19,"16-25",20.6,0,1,"F",0,"Married",0,14,"11+",12.97,"P",0,370,1,370,5.91350300563827
"13348",121769,57,"26-59",42.4,40,4,"F",0,"Single",1,9,"6-10",8.02,"D",1,500,1,500,6.21460809842219
